completed_updates,logical_targets,ce_pass_targets,weighted_multipass_training_loss,training_seconds,cumulative_training_seconds,targets_per_second,peak_allocated_bytes,timestamp
1,524288,1048576,10.947403907775879,3.610553741455078,3.610553741455078,145209.85908070387,31125658624,1788627179.8600883
2,1048576,2097152,10.888368606567383,2.581988573074341,6.192542314529419,203055.89477328205,32120412672,1788627182.494822
3,1572864,3145728,10.774933815002441,2.642643690109253,8.835186004638672,198395.26681643742,32120412672,1788627185.146926
4,2097152,4194304,10.638039588928223,2.5114362239837646,11.346622228622437,208760.2285071561,32120412672,1788627187.668277
5,2621440,5242880,10.516092300415039,2.5130066871643066,13.859628915786743,208629.76715418536,32120412672,1788627190.1921518
6,3145728,6291456,10.392862319946289,2.5131683349609375,16.37279725074768,208616.34802037608,32120412672,1788627192.7139702
7,3670016,7340032,10.28026008605957,2.5108284950256348,18.883625745773315,208810.75750044297,32120412672,1788627195.233814
8,4194304,8388608,10.174066543579102,2.510444402694702,21.394070148468018,208842.7050753369,32120412672,1788627197.7537725
9,4718592,9437184,10.063070297241211,2.5136561393737793,23.907726287841797,208575.86357480643,32120412672,1788627200.2771068
10,5242880,10485760,9.985456466674805,2.5135815143585205,26.421307802200317,208582.0559250099,32120412672,1788627202.800563
11,5767168,11534336,9.897586822509766,2.5104851722717285,28.931792974472046,208839.31352821883,32120412672,1788627205.3227613
12,6291456,12582912,9.845909118652344,2.5088729858398438,31.44066596031189,208973.5123934522,32120412672,1788627207.842121
13,6815744,13631488,9.797550201416016,2.502878189086914,33.943544149398804,209474.0376443441,32120412672,1788627210.3535929
14,7340032,14680064,9.757987976074219,2.504366397857666,36.44791054725647,209349.55861430528,32120412672,1788627212.867156
15,7864320,15728640,9.700284957885742,2.509000062942505,38.956910610198975,208962.9281974292,32120412672,1788627215.3849409
16,8388608,16777216,9.679368019104004,2.504718542098999,41.461629152297974,209320.12566994343,32120412672,1788627217.8987238
17,8912896,17825792,9.666669845581055,2.5053255558013916,43.966954708099365,209269.40963259095,32120412672,1788627220.4173603
18,9437184,18874368,9.646444320678711,2.5047497749328613,46.47170448303223,209317.51556462495,32120412672,1788627222.9303844
19,9961472,19922944,9.693690299987793,2.504812002182007,48.97651648521423,209312.31547249018,32120412672,1788627225.4445057
20,10485760,20971520,9.691652297973633,2.5029120445251465,51.47942852973938,209471.20421064104,32120412672,1788627227.9579556
21,11010048,22020096,9.596149444580078,2.508988618850708,53.98841714859009,208963.88132687524,32120412672,1788627230.4794106
22,11534336,23068672,9.566810607910156,2.500429630279541,56.48884677886963,209679.16619248592,32120412672,1788627232.9926043
23,12058624,24117248,9.555481910705566,2.5021588802337646,58.991005659103394,209534.25625435036,32120412672,1788627235.5047512
24,12582912,25165824,9.548748016357422,2.500553846359253,61.49155950546265,209668.75029040102,32120412672,1788627238.014978
25,13107200,26214400,9.490589141845703,2.5005133152008057,63.99207282066345,209672.14883952602,32120412672,1788627240.5250604
26,13631488,27262976,9.46818733215332,2.5018293857574463,66.4939022064209,209561.85221290306,32120412672,1788627243.037689
27,14155776,28311552,9.449193954467773,2.6338744163513184,69.12777662277222,199055.80795544962,32120412672,1788627245.6842954
28,14680064,29360128,9.400552749633789,2.61356258392334,71.74133920669556,200602.81059463555,32120412672,1788627248.3105001
29,15204352,30408704,9.367582321166992,2.5008397102355957,74.24217891693115,209644.78365173136,32120412672,1788627250.819995
30,15728640,31457280,9.320300102233887,2.5022504329681396,76.74442934989929,209526.5897818612,32120412672,1788627253.3335347
31,16252928,32505856,9.362529754638672,2.5034732818603516,79.24790263175964,209424.24422856123,32120412672,1788627255.8465877
32,16777216,34078720,9.296817779541016,3.82025408744812,83.06815671920776,137239.03907926122,46769340928,1788627259.6805391
33,17301504,35127296,9.275983810424805,2.5022850036621094,85.57044172286987,209523.6950358178,46769340928,1788627262.193902
34,17825792,36175872,9.237634658813477,2.5001707077026367,88.07061243057251,209700.88097774694,46769340928,1788627264.7046087
35,18350080,37224448,9.139945983886719,2.5048177242279053,90.57543015480042,209311.83731607,46769340928,1788627267.2184768
36,18874368,38273024,9.155439376831055,2.500830888748169,93.07626104354858,209645.52315748177,46769340928,1788627269.727675
37,19398656,39321600,9.136077880859375,2.5057642459869385,95.58202528953552,209232.7723326981,46769340928,1788627272.243497
38,19922944,40370176,9.064291954040527,2.5030698776245117,98.08509516716003,209457.9958341255,46769340928,1788627274.7566366
39,20447232,41418752,9.034021377563477,2.502878427505493,100.58797359466553,209474.01769031762,46769340928,1788627277.2669613
40,20971520,42467328,9.013269424438477,2.5012612342834473,103.08923482894897,209609.45334852088,46769340928,1788627279.7790282
41,21495808,43515904,8.980104446411133,2.5022003650665283,105.5914351940155,209530.78231449315,46769340928,1788627282.2917016
42,22020096,44564480,8.902816772460938,2.5023491382598877,108.09378433227539,209518.324994643,46769340928,1788627284.8055959
43,22544384,45613056,8.85212516784668,2.5043318271636963,110.59811615943909,209352.4485506328,46769340928,1788627287.319343
44,23068672,46661632,8.855589866638184,2.5058131217956543,113.10392928123474,209228.69125383845,46769340928,1788627289.8346019
45,23592960,47710208,8.811208724975586,2.5035035610198975,115.60743284225464,209421.71130222452,46769340928,1788627292.349177
46,24117248,48758784,8.794299125671387,2.5026023387908936,118.11003518104553,209497.12699993094,46769340928,1788627294.860547
47,24641536,49807360,8.73657512664795,2.5028507709503174,120.61288595199585,209476.3323827457,46769340928,1788627297.3730595
48,25165824,50855936,8.734142303466797,2.5000550746917725,123.11294102668762,209710.5801017758,46769340928,1788627299.8832467
49,25690112,51904512,8.721409797668457,2.5029451847076416,125.61588621139526,209468.4307124528,46769340928,1788627302.4032745
50,26214400,52953088,8.643060684204102,2.5028817653656006,128.11876797676086,209473.73833434607,46769340928,1788627304.913627
51,26738688,54001664,8.645885467529297,2.540466785430908,130.65923476219177,206374.67216918227,46769340928,1788627307.4643059
52,27262976,55050240,8.604373931884766,2.582362413406372,133.24159717559814,203026.49902203935,46769340928,1788627310.0550272
53,27787264,56098816,8.56167221069336,2.5019125938415527,135.7435097694397,209554.88264879145,46769340928,1788627312.5666578
54,28311552,57147392,8.514322280883789,2.502138376235962,138.24564814567566,209535.97330164505,46769340928,1788627315.0775416
55,28835840,58195968,8.5198974609375,2.5042145252227783,140.74986267089844,209362.25499824487,46769340928,1788627317.5938978
56,29360128,59244544,8.482293128967285,2.4991700649261475,143.24903273582458,209784.84311970707,46769340928,1788627320.10446
57,29884416,60293120,8.434398651123047,2.501055955886841,145.75008869171143,209626.65739883238,46769340928,1788627322.614655
58,30408704,61341696,8.416515350341797,2.500526189804077,148.2506148815155,209671.06928845218,46769340928,1788627325.122424
59,30932992,62390272,8.341253280639648,2.5027730464935303,150.75338792800903,209482.83774053954,46769340928,1788627327.6342795
60,31457280,63438848,8.318673133850098,2.4998273849487305,153.25321531295776,209729.68099985542,46769340928,1788627330.142773
61,31981568,64487424,8.294581413269043,2.501689910888672,155.75490522384644,209573.5357599767,46769340928,1788627332.6539686
62,32505856,65536000,8.310762405395508,2.5019121170043945,158.25681734085083,209554.92258766622,46769340928,1788627335.1639445
63,33030144,66584576,8.199054718017578,2.4996683597564697,160.7564857006073,209743.02369098226,46769340928,1788627337.6737971
64,33554432,68157440,8.173304557800293,3.81764817237854,164.57413387298584,137332.71803130792,46769340928,1788627341.4998336
65,34078720,69206016,8.144979476928711,2.501464605331421,167.07559847831726,209592.41193442218,46769340928,1788627344.0130165
66,34603008,70254592,8.132929801940918,2.4996557235717773,169.57525420188904,209744.08397762905,46769340928,1788627346.5215585
67,35127296,71303168,8.070404052734375,2.499504566192627,172.07475876808167,209756.7682377241,46769340928,1788627349.028848
68,35651584,72351744,8.074686050415039,2.500969171524048,174.5757279396057,209633.93150524437,46769340928,1788627351.5389137
