correct,id,label,original_id,prediction,scores
False,0,3,24,0,"[10.75, 10.75, 10.8125, 10.75]"
True,1,3,92,3,"[11.0, 11.1875, 11.25, 10.8125]"
True,2,2,106,2,"[11.0625, 10.875, 10.8125, 11.0]"
False,3,2,114,1,"[11.0, 10.875, 11.125, 11.0]"
False,4,1,116,3,"[11.125, 11.0625, 11.0625, 11.0]"
True,5,1,117,1,"[11.125, 11.0625, 11.0625, 11.25]"
False,6,2,149,3,"[11.0625, 11.125, 11.25, 10.9375]"
True,7,0,170,0,"[10.9375, 10.9375, 11.0625, 11.125]"
False,8,1,180,0,"[10.9375, 11.0, 10.9375, 11.0625]"
False,9,1,182,0,"[10.875, 11.0625, 11.125, 10.9375]"
False,10,3,185,0,"[11.0, 11.1875, 11.3125, 11.0625]"
False,11,3,186,0,"[10.875, 11.0, 11.1875, 10.9375]"
False,12,2,187,0,"[11.0625, 11.3125, 11.1875, 11.0625]"
False,13,2,188,0,"[10.9375, 11.0, 11.125, 11.3125]"
False,14,0,192,2,"[11.25, 11.0625, 10.9375, 11.0]"
False,15,3,200,1,"[11.0625, 10.9375, 10.9375, 11.25]"
False,16,2,225,3,"[11.0625, 11.25, 11.125, 11.0]"
True,17,0,245,0,"[10.8125, 10.9375, 11.0625, 11.0625]"
False,18,1,246,2,"[11.0625, 10.75, 10.5625, 11.125]"
True,19,1,247,1,"[11.125, 10.8125, 10.8125, 10.9375]"
False,20,1,282,0,"[10.9375, 11.0, 10.9375, 10.9375]"
False,21,0,354,3,"[11.3125, 11.125, 11.375, 11.0]"
False,22,3,378,2,"[10.8125, 10.8125, 10.625, 10.8125]"
False,23,3,380,0,"[11.0625, 11.0625, 11.125, 11.125]"
False,24,0,385,2,"[11.25, 11.0625, 10.625, 10.9375]"
False,25,3,386,1,"[11.0625, 10.75, 11.0, 11.0625]"
False,26,0,393,2,"[11.25, 11.1875, 10.9375, 11.1875]"
False,27,3,398,2,"[10.9375, 11.375, 10.875, 11.1875]"
False,28,1,399,3,"[11.125, 11.0, 11.0, 10.875]"
False,29,3,400,0,"[10.9375, 11.125, 11.0, 11.0625]"
False,30,1,402,0,"[10.8125, 11.0, 11.125, 11.0625]"
False,31,0,478,2,"[11.125, 11.5, 11.0625, 11.4375]"
False,32,1,479,0,"[11.0, 11.1875, 11.0, 11.0]"
False,33,2,491,3,"[10.9375, 10.9375, 11.0625, 10.8125]"
False,34,0,492,1,"[11.3125, 10.875, 11.0, 11.25]"
True,35,0,493,0,"[10.9375, 11.25, 11.0625, 11.0625]"
False,36,3,503,0,"[10.9375, 11.0, 11.125, 10.9375]"
False,37,2,527,3,"[11.0, 10.9375, 10.9375, 10.8125]"
False,38,2,529,1,"[11.0625, 10.875, 11.0, 11.125]"
False,39,1,560,0,"[11.0, 11.125, 11.0, 11.0625]"
True,40,2,586,2,"[10.8125, 11.1875, 10.75, 11.0]"
True,41,2,604,2,"[11.0625, 11.0625, 10.8125, 11.1875]"
False,42,3,605,0,"[10.75, 11.4375, 11.125, 11.0625]"
False,43,2,606,1,"[10.875, 10.8125, 11.0, 10.9375]"
True,44,0,615,0,"[10.9375, 10.9375, 10.9375, 11.0625]"
False,45,0,616,2,"[10.9375, 11.0625, 10.8125, 11.25]"
False,46,0,618,2,"[11.3125, 11.375, 10.9375, 11.0625]"
False,47,0,619,3,"[10.9375, 10.875, 11.0, 10.5625]"
False,48,3,689,0,"[10.875, 11.0625, 10.9375, 10.875]"
False,49,2,708,0,"[10.75, 10.9375, 10.8125, 10.875]"
False,50,2,712,3,"[11.0625, 10.9375, 11.0625, 10.875]"
False,51,2,748,0,"[10.875, 11.0, 10.9375, 10.9375]"
False,52,2,801,0,"[10.9375, 11.0, 11.375, 11.0625]"
True,53,3,818,3,"[11.1875, 10.9375, 10.9375, 10.625]"
False,54,1,819,0,"[10.8125, 10.8125, 11.0625, 11.3125]"
False,55,1,854,2,"[10.9375, 10.875, 10.5625, 10.9375]"
False,56,2,855,0,"[10.6875, 11.3125, 11.0625, 10.8125]"
False,57,1,858,0,"[10.8125, 11.125, 10.875, 11.0]"
False,58,0,859,1,"[11.0625, 10.9375, 10.9375, 10.9375]"
True,59,1,875,1,"[11.0625, 10.875, 10.9375, 10.9375]"
False,60,1,876,0,"[10.875, 11.125, 10.9375, 11.0625]"
True,61,1,883,1,"[11.0625, 10.875, 11.0625, 11.3125]"
True,62,2,884,2,"[11.4375, 11.25, 10.75, 11.0625]"
False,63,1,886,0,"[11.0, 11.1875, 11.125, 11.0625]"
True,64,3,887,3,"[10.9375, 11.1875, 11.0, 10.75]"
False,65,2,888,0,"[11.0, 11.0625, 11.0625, 11.1875]"
True,66,0,923,0,"[11.0, 11.1875, 11.125, 11.125]"
False,67,1,924,3,"[11.125, 11.1875, 10.9375, 10.8125]"
True,68,0,942,0,"[10.875, 11.125, 11.0625, 10.9375]"
False,69,0,950,3,"[10.9375, 11.0, 11.3125, 10.875]"
False,70,2,951,1,"[11.3125, 11.0, 11.0625, 11.125]"
False,71,2,989,0,"[10.8125, 11.375, 11.1875, 10.875]"
True,72,3,992,3,"[11.1875, 11.0, 11.1875, 10.875]"
False,73,1,1005,2,"[11.0625, 11.0625, 10.8125, 11.1875]"
False,74,3,1012,0,"[11.125, 11.25, 11.1875, 11.125]"
