model,updates,logical_targets,ce,perplexity,hellaswag
"G historical, 1 A100 80GB",0,0,10.951632499694824,57047.09876205529,0.24815773750248954
"G historical, 1 A100 80GB",250,131072000,6.172884464263916,479.56740802409286,0.24477195777733518
"G historical, 1 A100 80GB",500,262144000,5.302623748779297,200.86313360396423,0.24158534156542522
"G historical, 1 A100 80GB",750,393216000,4.588188648223877,98.31618358329818,0.24606652061342363
"G historical, 1 A100 80GB",1000,524288000,4.13529109954834,62.50778441011008,0.2550288787094204
"G historical, 1 A100 80GB",1250,655360000,3.947545051574707,51.808024561115644,0.2561242780322645
"G historical, 1 A100 80GB",1500,786432000,3.8081088066101074,45.065131346718566,0.25731925911173076
"G historical, 1 A100 80GB",1750,917504000,3.719972848892212,41.2632737498081,0.2590121489743079
"G historical, 1 A100 80GB",2000,1048576000,3.6628191471099854,38.97105328601647,0.26070503883688506
"G historical, 1 A100 80GB",2250,1179648000,3.604698419570923,36.77059289373715,0.26199960167297354
"G historical, 1 A100 80GB",2500,1310720000,3.57065486907959,35.53985948766639,0.26309500099581756
"G historical, 1 A100 80GB",2750,1441792000,3.5336556434631348,34.248940963728785,0.2656841266679944
"G historical, 1 A100 80GB",3000,1572864000,3.501028299331665,33.149522069943394,0.26618203545110536
"G historical, 1 A100 80GB",3250,1703936000,3.4832711219787598,32.566075639075635,0.2681736705835491
"G historical, 1 A100 80GB",3500,1835008000,3.4571382999420166,31.726056026761693,0.27215694084843656
"G historical, 1 A100 80GB",3750,1966080000,3.431924819946289,30.936131962160495,0.26996614220274845
"G historical, 1 A100 80GB",4000,2097152000,3.411257266998291,30.303319682673656,0.2740489942242581
"G historical, 1 A100 80GB",4250,2228224000,3.3997445106506348,29.95644551683874,0.27155945030870343
"G historical, 1 A100 80GB",4500,2359296000,3.3856475353240967,29.53711284894423,0.2755427205735909
"G historical, 1 A100 80GB",4750,2490368000,3.369426727294922,29.06186190922477,0.27504481179047996
"G historical, 1 A100 80GB",5000,2621440000,3.3541946411132812,28.62254348612432,0.27524397530372435
"G historical, 1 A100 80GB",5250,2752512000,3.3383843898773193,28.173572407551326,0.27902808205536744
"G historical, 1 A100 80GB",5500,2883584000,3.3402554988861084,28.226337581995036,0.27902808205536744
"G historical, 1 A100 80GB",5750,3014656000,3.3214104175567627,27.699390727568808,0.280920135431189
"G historical, 1 A100 80GB",6000,3145728000,3.311382532119751,27.42301247143367,0.27962557259510057
"G historical, 1 A100 80GB",6250,3276800000,3.2953617572784424,26.987175111250583,0.28161720772754434
"G historical, 1 A100 80GB",6500,3407872000,3.2846784591674805,26.700397666387452,0.27962557259510057
"G historical, 1 A100 80GB",6750,3538944000,3.2783584594726562,26.53218327863061,0.28121888070105555
"G historical, 1 A100 80GB",7000,3670016000,3.2722558975219727,26.370762029034402,0.2806213901613224
"G historical, 1 A100 80GB",7250,3801088000,3.262150287628174,26.105611406247277,0.28141804421429994
"G historical, 1 A100 80GB",7500,3932160000,3.2529468536376953,25.866452365237944,0.28450507866958774
"G historical, 1 A100 80GB",7750,4063232000,3.2479143142700195,25.736605429362797,0.2815176259709221
"G historical, 1 A100 80GB",8000,4194304000,3.2428786754608154,25.607330943229965,0.28251344353714397
"G historical, 1 A100 80GB",8250,4325376000,3.235905170440674,25.429379286874518,0.2835092611033659
"G historical, 1 A100 80GB",8500,4456448000,3.226486921310425,25.191003361509658,0.28340967934674366
"G historical, 1 A100 80GB",8750,4587520000,3.221295118331909,25.060555557889533,0.2848038239394543
"G historical, 1 A100 80GB",9000,4718592000,3.214268445968628,24.885080469712182,0.28440549691296557
"G historical, 1 A100 80GB",9250,4849664000,3.209632635116577,24.769984930315786,0.28649671380203146
"G historical, 1 A100 80GB",9500,4980736000,3.2048113346099854,24.650848815703732,0.2891854212308305
"G historical, 1 A100 80GB",9750,5111808000,3.1958887577056885,24.431878065797264,0.2865962955586537
"G historical, 1 A100 80GB",10000,5242880000,3.193807601928711,24.381084394722382,0.28818960366460866
"G historical, 1 A100 80GB",10250,5373952000,3.186931848526001,24.214021072011484,0.2909778928500299
"G historical, 1 A100 80GB",10500,5505024000,3.177858352661133,23.995308994024928,0.2884883489344752
"G historical, 1 A100 80GB",10750,5636096000,3.1749508380889893,23.925643609099808,0.28739294961163114
"G historical, 1 A100 80GB",11000,5767168000,3.172661542892456,23.87093339591975,0.287293367855009
"G historical, 1 A100 80GB",11250,5898240000,3.166067600250244,23.714047646557326,0.2920732921728739
"G historical, 1 A100 80GB",11500,6029312000,3.1601433753967285,23.573975614886688,0.2896833300139414
"G historical, 1 A100 80GB",11750,6160384000,3.1556644439697266,23.468625498736305,0.29197371041625175
"G historical, 1 A100 80GB",12000,6291456000,3.1521201133728027,23.385592167026434,0.2920732921728739
"G historical, 1 A100 80GB",12250,6422528000,3.1459851264953613,23.242561061555637,0.2925712009559849
"G historical, 1 A100 80GB",12500,6553600000,3.1438097953796387,23.192055748075514,0.29376618203545113
"G historical, 1 A100 80GB",12750,6684672000,3.1385624408721924,23.07067754554751,0.29067914758016333
"G historical, 1 A100 80GB",13000,6815744000,3.13494873046875,22.987457255664154,0.2951603266281617
"G historical, 1 A100 80GB",13250,6946816000,3.1309447288513184,22.895599461731774,0.2949611631149173
"G historical, 1 A100 80GB",13500,7077888000,3.1275293827056885,22.817536446348686,0.29346743676558457
"G historical, 1 A100 80GB",13750,7208960000,3.1238958835601807,22.73477938706909,0.2962557259510058
"G historical, 1 A100 80GB",14000,7340032000,3.1210777759552,22.670800524382486,0.29994025094602667
"G historical, 1 A100 80GB",14250,7471104000,3.118436098098755,22.61099060669867,0.2940649273053177
"G historical, 1 A100 80GB",14500,7602176000,3.1162421703338623,22.561438103796878,0.29715196176060543
"G historical, 1 A100 80GB",14750,7733248000,3.113830327987671,22.507089039020748,0.29864568810993825
"G historical, 1 A100 80GB",15000,7864320000,3.1086585521698,22.390987903502825,0.29635530770762797
"G historical, 1 A100 80GB",15250,7995392000,3.1055305004119873,22.321057164937937,0.29954192391953793
"G historical, 1 A100 80GB",15500,8126464000,3.103943347930908,22.28565834277347,0.2982473610834495
