model,step,tokens,train_loss,lr,grad_norm,step_time_ms,tokens_per_second,gpu_allocated_mb,gpu_reserved_mb,gpu_peak_mb,gpu_peak_reserved_mb
standard,0,524288,10.955028176307678,8.39160839160839e-07,15.346087455749512,3550.301194190979,147674.23137446557,8208.6123046875,72564.0,60012.009765625,72564.0
standard,1,1048576,10.90270209312439,1.678321678321678e-06,14.86643123626709,3088.281076401472,169766.93086851767,8209.0498046875,72566.0,60962.3828125,72566.0
standard,2,1572864,10.803943037986755,2.5174825174825174e-06,14.465794563293457,3094.908522441983,169403.39147288262,8209.0498046875,72566.0,60962.3828125,72566.0
standard,3,2097152,10.662124872207642,3.356643356643356e-06,12.932479858398438,3098.2939396053553,169218.28923268046,8209.0498046875,72566.0,60962.3828125,72566.0
standard,4,2621440,10.518576383590698,4.195804195804195e-06,10.578184127807617,3096.2803959846497,169328.33366122545,8209.0498046875,72566.0,60962.3828125,72566.0
standard,5,3145728,10.37681269645691,5.034965034965035e-06,8.876164436340332,3100.8114255964756,169080.90433108082,8209.0498046875,72566.0,60962.3828125,72566.0
standard,6,3670016,10.25735604763031,5.874125874125874e-06,7.58102560043335,3095.187172293663,169388.14062462034,8209.0498046875,72566.0,60962.3828125,72566.0
standard,7,4194304,10.14683723449707,6.713286713286712e-06,6.452619552612305,3100.1489516347647,169117.03540035823,8209.0498046875,72566.0,60962.3828125,72566.0
standard,8,4718592,10.035715579986572,7.5524475524475515e-06,5.508177757263184,3100.17797537148,169115.4521337366,8209.0498046875,72566.0,60962.3828125,72566.0
standard,9,5242880,9.961259722709656,8.39160839160839e-06,4.595274925231934,3100.4795655608177,169099.00191687484,8209.0498046875,72566.0,60962.3828125,72566.0
standard,10,5767168,9.875723123550415,9.230769230769229e-06,3.8954315185546875,3098.129019141197,169227.2971076372,8209.0498046875,72566.0,60962.3828125,72566.0
standard,11,6291456,9.828359723091125,1.006993006993007e-05,3.3726282119750977,3098.5193699598312,169205.97788833472,8209.0498046875,72566.0,60962.3828125,72566.0
standard,12,6815744,9.781777739524841,1.0909090909090909e-05,2.991809606552124,3099.860215559602,169132.78778454626,8209.0498046875,72566.0,60962.3828125,72566.0
standard,13,7340032,9.744493246078491,1.1748251748251748e-05,2.702388048171997,3097.76652790606,169247.09957221767,8209.0498046875,72566.0,60962.3828125,72566.0
standard,14,7864320,9.685194969177246,1.2587412587412587e-05,2.551767110824585,3096.2194744497538,169331.66538304722,8209.0498046875,72566.0,60962.3828125,72566.0
standard,15,8388608,9.663616180419922,1.3426573426573425e-05,2.460674285888672,3093.1668672710657,169498.7766575138,8209.0498046875,72566.0,60962.3828125,72566.0
standard,16,8912896,9.65053641796112,1.4265734265734264e-05,2.3403232097625732,3094.1626001149416,169444.23023551633,8209.0498046875,72566.0,60962.3828125,72566.0
standard,17,9437184,9.62738299369812,1.5104895104895103e-05,2.290408134460449,3097.9534201323986,169236.8892937045,8209.0498046875,72566.0,60962.3828125,72566.0
standard,18,9961472,9.677864074707031,1.5944055944055942e-05,2.3009159564971924,3103.532273322344,168932.6721383656,8209.0498046875,72566.0,60962.3828125,72566.0
standard,19,10485760,9.672528624534607,1.678321678321678e-05,2.4064693450927734,3097.303908318281,169272.37866195332,8209.0498046875,72566.0,60962.3828125,72566.0
standard,20,11010048,9.571784019470215,1.762237762237762e-05,2.237436294555664,3087.9310108721256,169786.17661925196,8209.0498046875,72566.0,60962.3828125,72566.0
