destination,v0 — Embedding,v1 — Block 1 Attention,v2 — Block 1 MLP,v3 — Block 2 Attention,v4 — Block 2 MLP,v5 — Block 3 Attention,v6 — Block 3 MLP,v7 — Block 4 Attention,v8 — Block 4 MLP,v9 — Block 5 Attention,v10 — Block 5 MLP,v11 — Block 6 Attention,v12 — Block 6 MLP,v13 — Block 7 Attention,v14 — Block 7 MLP,v15 — Block 8 Attention,v16 — Block 8 MLP,v17 — Block 9 Attention,v18 — Block 9 MLP,v19 — Block 10 Attention,v20 — Block 10 MLP,v21 — Block 11 Attention,v22 — Block 11 MLP,v23 — Block 12 Attention,v24 — Block 12 MLP
Block 1 Attention input,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 Mlp input,0.943718495965004,0.05628149136900902,,,,,,,,,,,,,,,,,,,,,,,
Block 2 Attention input,0.32895622551441195,0.50069869607687,0.17034508287906647,,,,,,,,,,,,,,,,,,,,,,
Block 2 Mlp input,0.25493703708052634,0.5659866541624069,0.12027489989995957,0.05880141016095877,,,,,,,,,,,,,,,,,,,,,
Block 3 Attention input,0.20808585211634636,0.2415794961154461,0.24843025356531145,0.12288902252912522,0.1790153779089451,,,,,,,,,,,,,,,,,,,,
Block 3 Mlp input,0.20063780024647715,0.27832312881946564,0.22865306958556175,0.045026143081486225,0.09988556355237961,0.14747429713606836,,,,,,,,,,,,,,,,,,,
Block 4 Attention input,0.16957875266671182,0.2292564392089844,0.2051475986838341,0.10660486854612827,0.09991261139512063,0.09223984479904175,0.09725988507270814,,,,,,,,,,,,,,,,,,
Block 4 Mlp input,0.15958615019917488,0.3167310938239098,0.2663697957992554,0.014164970628917218,0.09665427207946778,0.03158331662416458,0.09566603004932404,0.01924436977133155,,,,,,,,,,,,,,,,,
Block 5 Attention input,0.10484596602618695,0.09794227294623853,0.09341149777173996,0.10811836682260037,0.06681411936879159,0.06743957027792931,0.0626851076260209,0.34654786586761477,0.05219522975385189,,,,,,,,,,,,,,,,
Block 5 Mlp input,0.11224032267928125,0.35150981545448307,0.24679804295301438,0.008396708033978939,0.09782351218163968,0.02646866114810109,0.06581540443003178,0.006264110305346549,0.0771824073046446,0.00750100095756352,,,,,,,,,,,,,,,
Block 6 Attention input,0.11128380559384823,0.1267402283847332,0.1394115962088108,0.06126803681254387,0.06992561966180802,0.046027729660272604,0.06041858159005642,0.11768466457724572,0.036016912758350374,0.2215003423392773,0.009722486743703485,,,,,,,,,,,,,,
Block 6 Mlp input,0.08390608839690686,0.14071545600891114,0.12374828681349755,0.010667022969573737,0.05537389423698187,0.0345081564038992,0.03915523029863835,0.010027948860079051,0.04396882634609938,0.011947094229981303,0.032892173156142235,0.4130898222327233,,,,,,,,,,,,,
Block 7 Attention input,0.0834514643996954,0.09140175431966782,0.10162455812096596,0.030958782881498337,0.04932108614593744,0.032803468964993955,0.040263923443853857,0.03526459336280823,0.03130434434860945,0.0642768781632185,0.013423336436972022,0.29175399839878086,0.13415180668234825,,,,,,,,,,,,
Block 7 Mlp input,0.0764859788119793,0.11749791242182256,0.1019285898655653,0.012592631857842207,0.04002514053136111,0.02837849510833621,0.02893633656203747,0.014762654015794397,0.028569756448268892,0.01940962951630354,0.021826985478401187,0.15770983397960664,0.09886476024985313,0.253011292219162,,,,,,,,,,,
Block 8 Attention input,0.07710436992347242,0.08706520386040212,0.14969653338193895,0.03332422841340304,0.06678374335169793,0.01757063800469041,0.036404621228575705,0.039120565913617615,0.022093981690704825,0.06295963488519192,0.011165333259850741,0.10120719708502293,0.05351303536444903,0.08969585858285428,0.1522950567305088,,,,,,,,,,
Block 8 Mlp input,0.07255389690399171,0.09520009458065033,0.09527193941175938,0.013153789518401028,0.036558397300541404,0.02749697854742408,0.027814942877739668,0.015877876011654735,0.023508466593921185,0.01854844158515334,0.017329347599297763,0.11185137443244458,0.059622504934668544,0.1332698032259941,0.12070117518305779,0.13124096989631653,,,,,,,,,
Block 9 Attention input,0.05883700270205736,0.03784773107618094,0.13653220757842063,0.038300598785281185,0.03400793969631195,0.022305921837687495,0.034502968005836014,0.01429760684259236,0.024481875635683537,0.023509664461016655,0.016870890744030476,0.1255917351692915,0.04740387052297593,0.1415859341621399,0.10406714268028737,0.05478791017085314,0.0850689996033907,,,,,,,,
Block 9 Mlp input,0.06027381103485823,0.15593475326895714,0.08171739466488362,0.009215166652575135,0.03478544875979424,0.018046619556844234,0.019389669597148898,0.013348258053883911,0.0184639192186296,0.01706589786335826,0.015439364640042186,0.09106703884899617,0.037176851928234105,0.09171349294483662,0.07161076664924622,0.12417797446250917,0.08814951665699483,0.05242405124008656,,,,,,,
Block 10 Attention input,0.05220105219632387,0.05605263411998749,0.05477144904434681,0.05858977176249028,0.027956211753189564,0.04603874310851097,0.026208544429391623,0.01407058951444924,0.021317800786346198,0.025221310649067165,0.012906163837760687,0.0653972040861845,0.04227394796907902,0.06019805148243904,0.06201199218630791,0.09593156538903713,0.0808610212057829,0.10169006548821927,0.09630188196897507,,,,,,
Block 10 Mlp input,0.05306577049195767,0.13169643729925157,0.07440119534730912,0.00799604137428105,0.03230995535850525,0.014781629573553801,0.021008192468434574,0.013683267030864955,0.019850341230630876,0.01643349016085267,0.013117041159421207,0.07289737947285176,0.03186017805710435,0.07630652710795403,0.06868451870977879,0.10432147048413754,0.0791823111474514,0.0478613656014204,0.08343487977981567,0.037108007632195954,,,,,
Block 11 Attention input,0.045163124427199365,0.059332204051315784,0.04848248604685068,0.04739519804716111,0.027828288637101652,0.033046156726777555,0.022673633322119715,0.013230858510360122,0.017145270854234698,0.02541134571656585,0.011012254189699889,0.09234137013554573,0.030215297173708678,0.04731166064739228,0.04870838634669781,0.08309498727321625,0.058821632713079455,0.10020098984241486,0.07717634737491608,0.03615225683897734,0.07525624595582486,,,,
Block 11 Mlp input,0.044790095277130605,0.2119808152318001,0.06728244833648205,0.007095200219191611,0.030291159637272358,0.008790718112140895,0.016358637623488905,0.011738102743402125,0.015158856566995383,0.015272518945857884,0.010940181510522963,0.04409837927669287,0.018366946745663883,0.0356800613924861,0.044952863268554216,0.11530186757445336,0.051559118367731575,0.06047271545976401,0.07160948067903519,0.025836157053709032,0.07658878453075886,0.0158348866738379,,,
Block 12 Attention input,0.042873455025255684,0.0923457581549883,0.047509545832872396,0.037688601016998294,0.03358549233525992,0.018496222607791424,0.022542622126638892,0.015539976954460145,0.017032993771135808,0.02776264734566212,0.011512570129707456,0.03768256511539221,0.022824211046099663,0.0242412100546062,0.04129519052803517,0.09290192015469075,0.049393290840089324,0.0983267217874527,0.07118720673024655,0.02370217898860574,0.0681872271001339,0.018647367600351572,0.08472102545201779,,
Block 12 Mlp input,0.041622718796133995,0.17719525918364526,0.05438980516046286,0.009271229570731522,0.03607778977602721,0.009180703619495035,0.02022463344037533,0.01050806916318834,0.01663232631981373,0.014022615877911449,0.014045806694775821,0.025825573690235616,0.018923951126635075,0.020755832828581334,0.03595166485756636,0.09560239240527153,0.04545029681175947,0.09799746684730054,0.06531856711953879,0.01856377199292183,0.06772968955338002,0.010196324903517962,0.08142658770084382,0.01308692004531622,
Final LN input,0.0378974661231041,0.19242814779281617,0.03448259234428406,0.00873374417424202,0.03278834763914347,0.009020448476076127,0.018603410199284555,0.009646174451336266,0.014502849988639356,0.01385759054683149,0.013551807310432196,0.02266763933002949,0.018293975200504065,0.016378859151154758,0.03302077483385801,0.09071378968656063,0.04184979181736708,0.10091923512518407,0.060940317623317246,0.01604153532534838,0.06286760102957488,0.01124697756022215,0.06869050748646259,0.01336170001886785,0.05749471634626389
