destination,entropy_nats,top_1_source,top_1_weight,top_2_source,top_2_weight,top_3_source,top_3_weight
Block 1 Attention input,0.0,v0 — Embedding,1.0,,,,
Block 1 Mlp input,0.20115951225161555,v0 — Embedding,0.943718495965004,v1 — Block 1 Attention,0.05628149136900902,,
Block 2 Attention input,1.002786645293236,v1 — Block 1 Attention,0.50069869607687,v0 — Embedding,0.32895622551441195,v2 — Block 1 MLP,0.17034508287906647
Block 2 Mlp input,1.0666558027267456,v1 — Block 1 Attention,0.5659866541624069,v0 — Embedding,0.25493703708052634,v2 — Block 1 MLP,0.12027489989995957
Block 3 Attention input,1.5733791232109071,v2 — Block 1 MLP,0.24843025356531145,v1 — Block 1 Attention,0.2415794961154461,v0 — Embedding,0.20808585211634636
Block 3 Mlp input,1.6480892300605774,v1 — Block 1 Attention,0.27832312881946564,v2 — Block 1 MLP,0.22865306958556175,v0 — Embedding,0.20063780024647715
Block 4 Attention input,1.8516765117645264,v1 — Block 1 Attention,0.2292564392089844,v2 — Block 1 MLP,0.2051475986838341,v0 — Embedding,0.16957875266671182
Block 4 Mlp input,1.5919972002506257,v1 — Block 1 Attention,0.3167310938239098,v2 — Block 1 MLP,0.2663697957992554,v0 — Embedding,0.15958615019917488
Block 5 Attention input,1.9490884363651277,v7 — Block 4 Attention,0.34654786586761477,v3 — Block 2 Attention,0.10811836682260037,v0 — Embedding,0.10484596602618695
Block 5 Mlp input,1.6869421005249023,v1 — Block 1 Attention,0.35150981545448307,v2 — Block 1 MLP,0.24679804295301438,v0 — Embedding,0.11224032267928125
Block 6 Attention input,2.179546344280243,v9 — Block 5 Attention,0.2215003423392773,v2 — Block 1 MLP,0.1394115962088108,v1 — Block 1 Attention,0.1267402283847332
Block 6 Mlp input,1.8673379302024842,v11 — Block 6 Attention,0.4130898222327233,v1 — Block 1 Attention,0.14071545600891114,v2 — Block 1 MLP,0.12374828681349755
Block 7 Attention input,2.220910477638245,v11 — Block 6 Attention,0.29175399839878086,v12 — Block 6 MLP,0.13415180668234825,v2 — Block 1 MLP,0.10162455812096596
Block 7 Mlp input,2.2264149069786074,v13 — Block 7 Attention,0.253011292219162,v11 — Block 6 Attention,0.15770983397960664,v1 — Block 1 Attention,0.11749791242182256
Block 8 Attention input,2.465113723278046,v14 — Block 7 MLP,0.1522950567305088,v2 — Block 1 MLP,0.14969653338193895,v11 — Block 6 Attention,0.10120719708502293
Block 8 Mlp input,2.476627469062805,v13 — Block 7 Attention,0.1332698032259941,v15 — Block 8 Attention,0.13124096989631653,v14 — Block 7 MLP,0.12070117518305779
Block 9 Attention input,2.5615806818008426,v13 — Block 7 Attention,0.1415859341621399,v2 — Block 1 MLP,0.13653220757842063,v11 — Block 6 Attention,0.1255917351692915
Block 9 Mlp input,2.5334310770034794,v1 — Block 1 Attention,0.15593475326895714,v15 — Block 8 Attention,0.12417797446250917,v13 — Block 7 Attention,0.09171349294483662
Block 10 Attention input,2.731061446666718,v17 — Block 9 Attention,0.10169006548821927,v18 — Block 9 MLP,0.09630188196897507,v15 — Block 8 Attention,0.09593156538903713
Block 10 Mlp input,2.6521509885787964,v1 — Block 1 Attention,0.13169643729925157,v15 — Block 8 Attention,0.10432147048413754,v18 — Block 9 MLP,0.08343487977981567
Block 11 Attention input,2.823027801513672,v17 — Block 9 Attention,0.10020098984241486,v11 — Block 6 Attention,0.09234137013554573,v15 — Block 8 Attention,0.08309498727321625
Block 11 Mlp input,2.5845054745674134,v1 — Block 1 Attention,0.2119808152318001,v15 — Block 8 Attention,0.11530186757445336,v20 — Block 10 MLP,0.07658878453075886
Block 12 Attention input,2.86056501865387,v17 — Block 9 Attention,0.0983267217874527,v15 — Block 8 Attention,0.09290192015469075,v1 — Block 1 Attention,0.0923457581549883
Block 12 Mlp input,2.679367327690125,v1 — Block 1 Attention,0.17719525918364526,v17 — Block 9 Attention,0.09799746684730054,v15 — Block 8 Attention,0.09560239240527153
Final LN input,2.7126909494400024,v1 — Block 1 Attention,0.19242814779281617,v17 — Block 9 Attention,0.10091923512518407,v15 — Block 8 Attention,0.09071378968656063
