model,tokens,completed_optimizer_updates,last_zero_based_step,train_loss,validation_loss,attnres_minus_standard_validation_loss,hellaswag_accuracy,hellaswag_correct,hellaswag_examples,learning_rate
standard,0,0,-1,,10.951632404327393,-0.010586786270140536,0.24815773750248954,2492,10042,
full_attnres,0,0,-1,,10.941045618057252,-0.010586786270140536,0.24507070304720174,2461,10042,
standard,100139008,191,190,6.425617456436157,6.422072505950928,-0.005571937561035689,0.246265684126668,2473,10042,0.00016027972027972027
full_attnres,100139008,191,190,6.4302051067352295,6.416500568389893,-0.005571937561035689,0.24586735710017923,2469,10042,0.00016027972027972027
standard,250085376,477,476,5.34361207485199,5.374175190925598,-0.09617011547088605,,,,0.0004002797202797202
full_attnres,250085376,477,476,5.254766643047333,5.278005075454712,-0.09617011547088605,,,,0.0004002797202797202
standard,374865920,715,714,4.710934042930603,4.710257577896118,-0.19081847667694074,,,,0.0006
full_attnres,374865920,715,714,4.539973020553589,4.519439101219177,-0.19081847667694074,,,,0.0006
standard,500170752,954,953,4.177829027175903,4.2019325494766235,-0.12327814102172852,0.2557259510057757,2568,10042,0.0005997760883651323
full_attnres,500170752,954,953,4.056465446949005,4.078654408454895,-0.12327814102172852,0.252141007767377,2532,10042,0.0005997760883651323
