tokens,completed_optimizer_updates,destination,strongest_source_index,strongest_source,strongest_mean_weight
100139008,191,Block 1 Attention input,0,Embedding,1.0
100139008,191,Block 1 Mlp input,0,Embedding,0.5233196467161179
100139008,191,Block 2 Attention input,0,Embedding,0.36339360624551775
100139008,191,Block 2 Mlp input,1,Block 1 Attention,0.30005128234624867
100139008,191,Block 3 Attention input,1,Block 1 Attention,0.2034552536904812
100139008,191,Block 3 Mlp input,2,Block 1 MLP,0.2012810714542866
100139008,191,Block 4 Attention input,1,Block 1 Attention,0.15026540756225587
100139008,191,Block 4 Mlp input,2,Block 1 MLP,0.16248271167278291
100139008,191,Block 5 Attention input,7,Block 4 Attention,0.11878929436206818
100139008,191,Block 5 Mlp input,2,Block 1 MLP,0.13034367561340332
100139008,191,Block 6 Attention input,2,Block 1 MLP,0.09518837705254556
100139008,191,Block 6 Mlp input,2,Block 1 MLP,0.10814120285212994
100139008,191,Block 7 Attention input,1,Block 1 Attention,0.08756573013961316
100139008,191,Block 7 Mlp input,1,Block 1 Attention,0.09359881840646267
100139008,191,Block 8 Attention input,1,Block 1 Attention,0.07462957091629506
100139008,191,Block 8 Mlp input,1,Block 1 Attention,0.08378167599439622
100139008,191,Block 9 Attention input,1,Block 1 Attention,0.06796027310192586
100139008,191,Block 9 Mlp input,1,Block 1 Attention,0.08175952807068826
100139008,191,Block 10 Attention input,1,Block 1 Attention,0.06018967125564814
100139008,191,Block 10 Mlp input,1,Block 1 Attention,0.07485924400389195
100139008,191,Block 11 Attention input,4,Block 2 MLP,0.05423321258276701
100139008,191,Block 11 Mlp input,1,Block 1 Attention,0.07119383104145527
100139008,191,Block 12 Attention input,1,Block 1 Attention,0.0501315888017416
100139008,191,Block 12 Mlp input,1,Block 1 Attention,0.06148950159549713
100139008,191,Final LN input,14,Block 7 MLP,0.05312933754175902
250085376,477,Block 1 Attention input,0,Embedding,1.0
250085376,477,Block 1 Mlp input,0,Embedding,0.6443895488977432
250085376,477,Block 2 Attention input,1,Block 1 Attention,0.4347530722618103
250085376,477,Block 2 Mlp input,1,Block 1 Attention,0.4928464964032173
250085376,477,Block 3 Attention input,1,Block 1 Attention,0.23936379104852679
250085376,477,Block 3 Mlp input,2,Block 1 MLP,0.2770484060049057
250085376,477,Block 4 Attention input,1,Block 1 Attention,0.1953100360929966
250085376,477,Block 4 Mlp input,2,Block 1 MLP,0.2899419724941254
250085376,477,Block 5 Attention input,7,Block 4 Attention,0.20829042568802836
250085376,477,Block 5 Mlp input,2,Block 1 MLP,0.2795749306678772
250085376,477,Block 6 Attention input,9,Block 5 Attention,0.17954034432768823
250085376,477,Block 6 Mlp input,11,Block 6 Attention,0.302959007024765
250085376,477,Block 7 Attention input,11,Block 6 Attention,0.28165055960416796
250085376,477,Block 7 Mlp input,11,Block 6 Attention,0.2712067410349846
250085376,477,Block 8 Attention input,11,Block 6 Attention,0.16659462526440622
250085376,477,Block 8 Mlp input,11,Block 6 Attention,0.2060139335691929
250085376,477,Block 9 Attention input,11,Block 6 Attention,0.14919095411896707
250085376,477,Block 9 Mlp input,11,Block 6 Attention,0.165840582549572
250085376,477,Block 10 Attention input,11,Block 6 Attention,0.12817436456680298
250085376,477,Block 10 Mlp input,11,Block 6 Attention,0.1586100995540619
250085376,477,Block 11 Attention input,11,Block 6 Attention,0.12091657780110837
250085376,477,Block 11 Mlp input,11,Block 6 Attention,0.1056349728256464
250085376,477,Block 12 Attention input,11,Block 6 Attention,0.0791209962219
250085376,477,Block 12 Mlp input,15,Block 8 Attention,0.09177190996706486
250085376,477,Final LN input,15,Block 8 Attention,0.09062923975288868
374865920,715,Block 1 Attention input,0,Embedding,1.0
374865920,715,Block 1 Mlp input,0,Embedding,0.8775591373443604
374865920,715,Block 2 Attention input,1,Block 1 Attention,0.4769550606608391
374865920,715,Block 2 Mlp input,1,Block 1 Attention,0.5659661918878556
374865920,715,Block 3 Attention input,1,Block 1 Attention,0.2680701017379761
374865920,715,Block 3 Mlp input,1,Block 1 Attention,0.29660123586654663
374865920,715,Block 4 Attention input,1,Block 1 Attention,0.2526433616876602
374865920,715,Block 4 Mlp input,2,Block 1 MLP,0.32310937345027924
374865920,715,Block 5 Attention input,7,Block 4 Attention,0.2889339566230774
374865920,715,Block 5 Mlp input,1,Block 1 Attention,0.3764644131064415
374865920,715,Block 6 Attention input,9,Block 5 Attention,0.19221259877085686
374865920,715,Block 6 Mlp input,11,Block 6 Attention,0.40168987512588505
374865920,715,Block 7 Attention input,11,Block 6 Attention,0.32078606188297276
374865920,715,Block 7 Mlp input,11,Block 6 Attention,0.24133561700582506
374865920,715,Block 8 Attention input,2,Block 1 MLP,0.1607939623296261
374865920,715,Block 8 Mlp input,11,Block 6 Attention,0.18422757163643838
374865920,715,Block 9 Attention input,11,Block 6 Attention,0.17653977423906328
374865920,715,Block 9 Mlp input,1,Block 1 Attention,0.19481822624802592
374865920,715,Block 10 Attention input,17,Block 9 Attention,0.10308758690953256
374865920,715,Block 10 Mlp input,1,Block 1 Attention,0.14955241084098816
374865920,715,Block 11 Attention input,11,Block 6 Attention,0.1235448244959116
374865920,715,Block 11 Mlp input,1,Block 1 Attention,0.2023501329123974
374865920,715,Block 12 Attention input,17,Block 9 Attention,0.08130114749073983
374865920,715,Block 12 Mlp input,1,Block 1 Attention,0.13265164196491241
374865920,715,Final LN input,1,Block 1 Attention,0.1420578345656395
500170752,954,Block 1 Attention input,0,Embedding,1.0
500170752,954,Block 1 Mlp input,0,Embedding,0.943718495965004
500170752,954,Block 2 Attention input,1,Block 1 Attention,0.50069869607687
500170752,954,Block 2 Mlp input,1,Block 1 Attention,0.5659866541624069
500170752,954,Block 3 Attention input,2,Block 1 MLP,0.24843025356531145
500170752,954,Block 3 Mlp input,1,Block 1 Attention,0.27832312881946564
500170752,954,Block 4 Attention input,1,Block 1 Attention,0.2292564392089844
500170752,954,Block 4 Mlp input,1,Block 1 Attention,0.3167310938239098
500170752,954,Block 5 Attention input,7,Block 4 Attention,0.34654786586761477
500170752,954,Block 5 Mlp input,1,Block 1 Attention,0.35150981545448307
500170752,954,Block 6 Attention input,9,Block 5 Attention,0.2215003423392773
500170752,954,Block 6 Mlp input,11,Block 6 Attention,0.4130898222327233
500170752,954,Block 7 Attention input,11,Block 6 Attention,0.29175399839878086
500170752,954,Block 7 Mlp input,13,Block 7 Attention,0.253011292219162
500170752,954,Block 8 Attention input,14,Block 7 MLP,0.1522950567305088
500170752,954,Block 8 Mlp input,13,Block 7 Attention,0.1332698032259941
500170752,954,Block 9 Attention input,13,Block 7 Attention,0.1415859341621399
500170752,954,Block 9 Mlp input,1,Block 1 Attention,0.15593475326895714
500170752,954,Block 10 Attention input,17,Block 9 Attention,0.10169006548821927
500170752,954,Block 10 Mlp input,1,Block 1 Attention,0.13169643729925157
500170752,954,Block 11 Attention input,17,Block 9 Attention,0.10020098984241486
500170752,954,Block 11 Mlp input,1,Block 1 Attention,0.2119808152318001
