W0817 15:36:05.790000 6408 torch/distributed/run.py:774] 
W0817 15:36:05.790000 6408 torch/distributed/run.py:774] *****************************************
W0817 15:36:05.790000 6408 torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0817 15:36:05.790000 6408 torch/distributed/run.py:774] *****************************************
found 1 shards for split val
found 1 shards for split val
found 1 shards for split val
found 1 shards for split val
rank=1 phase=part_a_baseline task=A:final_2b3:full_context:1:1 loss=4.0315861702 wall=1.2s
rank=3 phase=part_a_baseline task=A:final_2b3:full_context:1:3 loss=4.0620422363 wall=1.2s
rank=2 phase=part_a_baseline task=A:final_2b3:full_context:1:2 loss=4.0768570900 wall=1.2s
rank=0 phase=part_a_baseline task=A:final_2b3:full_context:1:0 loss=4.0268793106 wall=1.2s
rank=1 phase=part_a_baseline task=A:final_2b3:full_context:1:5 loss=4.0507469177 wall=1.1s
rank=2 phase=part_a_baseline task=A:final_2b3:full_context:1:6 loss=4.0747375488 wall=1.1s
rank=3 phase=part_a_baseline task=A:final_2b3:full_context:1:7 loss=4.0194582939 wall=1.1s
rank=0 phase=part_a_baseline task=A:final_2b3:full_context:1:4 loss=4.0057821274 wall=1.1s
rank=2 phase=part_a_baseline task=A:final_2b3:full_context:1:10 loss=4.0997595787 wall=1.1s
rank=1 phase=part_a_baseline task=A:final_2b3:full_context:1:9 loss=4.0839729309 wall=1.1s
rank=0 phase=part_a_baseline task=A:final_2b3:full_context:1:8 loss=4.1009969711 wall=1.1s
rank=3 phase=part_a_baseline task=A:final_2b3:full_context:1:11 loss=4.2103638649 wall=1.1s
rank=2 phase=part_a_baseline task=A:final_2b3:full_context:1:14 loss=4.2441534996 wall=1.1s
rank=1 phase=part_a_baseline task=A:final_2b3:full_context:1:13 loss=4.0465703011 wall=1.1s
rank=0 phase=part_a_baseline task=A:final_2b3:full_context:1:12 loss=4.0674457550 wall=1.1s
rank=3 phase=part_a_baseline task=A:final_2b3:full_context:1:15 loss=4.0680665970 wall=1.1s
rank=2 phase=part_a_baseline task=A:final_2b3:full_context:1:18 loss=4.0238018036 wall=1.1s
rank=0 phase=part_a_baseline task=A:final_2b3:full_context:1:16 loss=4.1077375412 wall=1.1s
rank=3 phase=part_a_baseline task=A:final_2b3:full_context:1:19 loss=4.0344305038 wall=1.1s
