control,loss,delta_vs_real,recovery,fraction_of_real_recovery_retained,real_wins
zero,5.9736480712890625,1.1594576120376585,0.0,0.0,20
real,4.814190459251404,0.0,1.1594576120376585,1.0,0
coherent_shuffle,4.817693614959717,0.003503155708313166,1.1559544563293453,0.996978625460782,16
independent_source_shuffle,4.792568612098694,-0.021621847152710316,1.1810794591903688,1.018648242875142,0
batch_mean,4.779227185249328,-0.03496327400207555,1.194420886039734,1.0301548531305342,0
position_template,4.775070428848267,-0.039120030403137385,1.198577642440796,1.0337399401211287,0
global_template,4.777687311172485,-0.036503148078918635,1.1959607601165771,1.0314829517698083,0
norm_random,5.739567255973816,0.9253767967224116,0.23408081531524694,0.20188820435088414,20
lag8,4.821179604530334,0.006989145278930131,1.1524684667587284,0.993972056238738,18
lag32,4.85613112449646,0.0419406652450558,1.1175169467926027,0.9638273406378796,20
